,Poop,IDs,user,timestamp,content,reactions,audio_files
0,1,55,Stephen,2025-01-01 13:43:18,1,,
1,2,56,Stephen,2025-01-01 13:43:21,2,,
2,3,105,Stephen,2025-01-01 16:35:16,3,,
3,4,321,Stephen,2025-01-03 12:04:09,4,"[{'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735905880}]",
4,5,453,Stephen,2025-01-03 22:18:52,5,"[{'reaction': 'â\x9d¤', 'actor': 'Conan', 'timestamp': 1735944162}]",
5,6,482,Stephen,2025-01-04 15:12:12,6,,
6,7,534,Stephen,2025-01-05 16:47:18,7,,
7,8,557,Stephen,2025-01-06 00:53:00,8,,
8,9,636,Stephen,2025-01-06 13:12:31,9,,
9,10,666,Stephen,2025-01-07 10:42:41,10,"[{'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1736246567}]",
10,11,699,Stephen,2025-01-07 14:36:52,11,,
11,12,784,Stephen,2025-01-08 13:02:26,12,,
12,13,803,Stephen,2025-01-08 17:38:24,13,,
13,14,833,Stephen,2025-01-09 00:16:13,14,,
14,15,902,Stephen,2025-01-09 21:51:47,15,,
15,16,922,Stephen,2025-01-10 11:22:18,16,,
16,18,1066,Stephen,2025-01-11 09:21:48,18,,
17,19,1128,Stephen,2025-01-12 12:25:26,19,,
18,20,1187,Stephen,2025-01-12 19:18:41,20,,
19,21,1223,Stephen,2025-01-13 12:06:02,21,,
20,22,1280,Stephen,2025-01-14 11:41:33,22,,
21,23,1282,Stephen,2025-01-14 12:20:24,23,,
22,24,1322,Stephen,2025-01-15 09:20:28,24,,
23,25,1325,Stephen,2025-01-15 10:55:39,25,,
24,26,1326,Stephen,2025-01-15 11:39:18,...26,,
25,27,1352,Stephen,2025-01-16 11:04:20,27,,
26,28,1370,Stephen,2025-01-16 15:46:24,28,,
27,29,1415,Stephen,2025-01-17 10:01:56,29,,
28,30,1464,Stephen,2025-01-17 23:35:12,30,,
29,31,1475,Stephen,2025-01-18 09:40:26,31,,
30,32,1505,Stephen,2025-01-18 22:04:26,32,,
31,33,1532,Stephen,2025-01-19 10:49:21,33,,
32,34,1569,Stephen,2025-01-20 10:56:54,34,,
33,35,1676,Stephen,2025-01-21 12:09:14,35,,
34,36,1677,Stephen,2025-01-21 12:09:16,and 36,,
35,37,1704,Stephen,2025-01-22 02:07:55,37,,
36,38,1738,Stephen,2025-01-22 13:36:33,38,,
37,39,1782,Stephen,2025-01-23 12:39:25,39,,
38,40,1820,Stephen,2025-01-24 03:30:38,40,,
39,41,1889,Stephen,2025-01-25 11:47:13,41,,
40,42,1931,Stephen,2025-01-25 19:01:39,42,,
41,43,1957,Stephen,2025-01-26 11:07:40,43,,
42,44,1966,Stephen,2025-01-26 13:00:02,44,,
43,45,1990,Stephen,2025-01-26 18:53:21,45,"[{'reaction': 'â\x9d¤', 'actor': 'Harry Rooney', 'timestamp': 1737926409}]",
44,46,2008,Stephen,2025-01-27 10:03:33,46,,
45,47,2022,Stephen,2025-01-27 13:44:08,47,,
46,48,2061,Stephen,2025-01-28 11:24:33,48,,
47,49,2125,Stephen,2025-01-29 17:05:52,49 and 50,,
48,50,2125,Stephen,2025-01-29 17:05:52,49 and 50,,
49,51,2160,Stephen,2025-01-29 21:37:22,51,,
50,52,2174,Stephen,2025-01-30 11:08:00,52,,
51,53,2186,Stephen,2025-01-30 16:32:34,53,,
52,54,2205,Stephen,2025-01-31 10:02:28,54,,
53,55,2223,Stephen,2025-01-31 18:35:21,55,,
54,56,2343,Stephen,2025-02-01 11:36:55,56,,
55,57,2396,Stephen,2025-02-02 12:48:00,57,,
56,58,2411,Stephen,2025-02-02 18:04:58,58,,
57,59,2436,Stephen,2025-02-03 09:47:02,59,,
58,60,2445,Stephen,2025-02-03 12:19:49,60,,
59,61,2456,Stephen,2025-02-03 16:48:45,61,,
60,62,2459,Stephen,2025-02-03 18:28:58,62,,
61,63,2508,Stephen,2025-02-04 18:05:06,63,,
62,64,2517,Stephen,2025-02-05 10:03:58,64,,
63,65,2534,Stephen,2025-02-05 14:06:54,65,,
64,66,2571,Stephen,2025-02-06 10:43:20,66,,
65,67,2600,Stephen,2025-02-06 15:17:13,67,,
66,68,2654,Stephen,2025-02-07 15:08:20,68,,
67,69,2669,Stephen,2025-02-08 00:05:24,69,,
68,70,2680,Stephen,2025-02-08 11:48:25,70,,
69,71,2707,Stephen,2025-02-08 14:09:33,71,,
70,73,2711,Stephen,2025-02-08 15:09:23,73,,
71,74,2793,Stephen,2025-02-10 12:00:57,74,,
72,75,2835,Stephen,2025-02-10 13:40:37,75,,
73,76,2852,Stephen,2025-02-10 18:51:31,76,,
74,77,2879,Stephen,2025-02-11 16:28:18,77,,
75,78,2886,Stephen,2025-02-11 18:38:17,78,,
76,79,2925,Stephen,2025-02-12 15:25:51,79,,
77,80,2965,Stephen,2025-02-14 00:14:24,80,,
78,81,2970,Stephen,2025-02-14 10:19:33,81,,
79,82,3049,Stephen,2025-02-15 13:42:58,82,,
80,83,3075,Stephen,2025-02-16 15:07:45,83 girthy,,
81,84,3100,Stephen,2025-02-17 11:41:06,84,,
82,85,3106,Stephen,2025-02-17 15:10:10,85,,
83,86,3129,Stephen,2025-02-18 10:42:17,86,"[{'reaction': 'â\x9d¤', 'actor': 'Harry Rooney'}]",
84,87,3143,Stephen,2025-02-18 16:58:52,87,,
85,88,3173,Stephen,2025-02-19 15:11:37,88,,
86,89,3198,Stephen,2025-02-19 17:42:41,89,,
87,90,3220,Stephen,2025-02-20 11:02:10,90,,
88,91,3290,Stephen,2025-02-21 10:52:36,91 mole in the bowl,,
89,92,3330,Stephen,2025-02-22 13:43:01,92,,
90,93,3332,Stephen,2025-02-22 15:10:54,93,"[{'reaction': 'â\x9d¤', 'actor': 'Ros Hanley'}]",
91,94,3361,Stephen,2025-02-23 14:04:59,94,,
92,95,3375,Stephen,2025-02-23 22:50:39,95,,
93,96,3386,Stephen,2025-02-24 09:57:24,96,"[{'reaction': 'â\x9d¤', 'actor': 'Dex'}]",
94,97,3393,Stephen,2025-02-24 13:56:41,97,,
95,98,3405,Stephen,2025-02-25 09:39:40,98,,
96,99,3416,Stephen,2025-02-25 12:16:11,99,,
97,100,3457,Stephen,2025-02-26 10:58:43,100,"[{'reaction': 'ð\x9f\x98®', 'actor': 'Georgia-Rae'}, {'reaction': 'ð\x9f\x92\x90', 'actor': 'Emma Smyth'}, {'reaction': 'â\x9d¤', 'actor': 'Dex'}]",
98,101,3470,Stephen,2025-02-26 13:03:15,Zoey 101 poo,,
99,102,3492,Stephen,2025-02-26 18:25:33,102,,
100,103,3551,Stephen,2025-02-27 14:19:17,103,,
101,104,3567,Stephen,2025-02-28 09:53:23,104,,
