,Poop,IDs,user,timestamp,content,reactions
0,1,81,Niamh,2025-01-01 15:01:33,1,"[{'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1735743701}]"
1,2,126,Niamh,2025-01-01 17:30:39,2,
2,3,155,Niamh,2025-01-01 23:51:39,3,
3,4,212,Niamh,2025-01-02 13:39:10,4,"[{'reaction': 'â\x9d¤', 'actor': 'Ruby Long', 'timestamp': 1735876002}]"
4,6,444,Niamh,2025-01-03 18:19:53,6,
5,7,457,Niamh,2025-01-03 22:44:19,7 âï¸,
6,8,495,Niamh,2025-01-04 19:00:45,8,
7,9,535,Niamh,2025-01-05 17:49:33,9,
8,10,644,Niamh,2025-01-06 15:13:52,10,
9,11,747,Niamh,2025-01-07 22:50:11,11,
10,12,818,Niamh,2025-01-08 19:53:24,12,
11,13,825,Niamh,2025-01-08 22:13:54,13,"[{'reaction': 'â\x9d¤', 'actor': 'Dex', 'timestamp': 1736375968}]"
12,14,888,Niamh,2025-01-09 18:25:29,14,
13,15,935,Niamh,2025-01-10 14:28:19,15,
14,16,1056,Niamh,2025-01-11 00:22:40,16,
15,17,1096,Niamh,2025-01-11 19:48:49,17,
16,18,1113,Niamh,2025-01-11 23:58:01,18 âï¸ am legal now,"[{'reaction': 'â\x9d¤', 'actor': 'Conor Mcmenamin', 'timestamp': 1736641694}, {'reaction': 'ð\x9f\x92\x80', 'actor': 'Dan Griffin', 'timestamp': 1736640087}]"
17,19,1186,Niamh,2025-01-12 19:11:23,"19 earlier, forgot the update",
18,20,1197,Niamh,2025-01-12 21:18:27,Anyway 20,
19,21,1242,Niamh,2025-01-13 16:01:20,21,"[{'reaction': 'â\x9d¤', 'actor': 'Harry Rooney', 'timestamp': 1736787811}]"
20,22,1292,Niamh,2025-01-14 16:10:05,22,
21,23,1306,Niamh,2025-01-14 22:43:21,23,
22,24,1334,Niamh,2025-01-15 18:42:54,24,
23,25,1377,Niamh,2025-01-16 23:38:02,25,
24,26,1454,Niamh,2025-01-17 15:40:32,26,
25,27,1465,Niamh,2025-01-17 23:36:01,27,
26,28,1522,Niamh,2025-01-19 02:27:14,28,
27,29,1556,Niamh,2025-01-19 23:50:14,29,
28,30,1588,Niamh,2025-01-20 13:21:51,30,"[{'reaction': 'ð\x9f\x98®', 'actor': 'shane', 'timestamp': 1737379359}]"
29,31,1660,Niamh,2025-01-21 00:12:18,31,
30,32,1760,Niamh,2025-01-22 18:47:06,32 this morning,
31,33,1761,Niamh,2025-01-22 18:47:11,33 now,
32,34,1784,Niamh,2025-01-23 12:54:32,34,
33,35,1814,Niamh,2025-01-23 23:22:27,35,
34,36,1914,Niamh,2025-01-25 13:18:25,36,
35,37,1972,Niamh,2025-01-26 15:15:09,37,
36,38,1986,Niamh,2025-01-26 18:41:34,38,
37,39,1994,Niamh,2025-01-26 23:10:57,39,
